HASC_2,Max,Mean,Min
US.MN.KI,0.0515633150935173,0.013284709405895599,0.0
US.MN.KO,0.00019230807083658874,3.4340726935105133e-06,0.0
US.MN.LC,6.410269270418212e-05,1.1870869019292985e-06,0.0
US.MN.LE,0.00019230807083658874,9.157527182694702e-06,0.0
US.MN.LO,0.001545911654829979,0.0001379835440523245,0.0
US.MN.LU,0.0007584577542729676,6.136302151086663e-05,0.0
US.MN.LI,0.0,0.0,0.0
US.MN.LY,0.0,0.0,0.0
US.MN.MH,0.007987688295543194,0.002414092405420628,0.0
US.MN.MS,0.0515633150935173,0.02231915352646919,0.0
US.MN.MT,0.0,0.0,0.0
US.MN.MC,0.005946440622210503,0.0004020278288711173,0.0
US.MN.ME,0.014572488144040108,0.0006360106791059177,0.0
US.MN.MI,0.11478812247514725,0.009176229269983845,0.0
US.MN.MR,0.008219907991588116,0.000519116564222107,0.0
US.MN.MW,0.0,0.0,0.0
US.MN.MU,0.0,0.0,0.0
US.MN.NI,0.00891966000199318,0.0002725269805523567,0.0
US.MN.NB,0.0,0.0,0.0
US.MN.NR,0.0028230780735611916,0.00023421976584359072,0.0
US.MN.OL,0.0015393114881590009,7.892208439963205e-05,0.0
US.MN.OT,0.17614109814167023,0.003098188061827826,0.0
US.MN.PI,0.03717070072889328,0.019843936222605406,0.0
US.MN.PN,0.18577776849269867,0.028103236185011662,0.0
US.MN.PS,0.0,0.0,0.0
US.MN.PL,0.03857690468430519,0.0061121372555670165,0.0
US.MN.PE,0.0,0.0,0.0
US.MN.RA,0.0,0.0,0.0
US.MN.RD,0.03143475949764252,0.019863134232798108,0.004662004765123129
US.MN.RW,0.0,0.0,0.0
